,Movie_Name,year,runtime,genre,Rating,director,stars,Votes
1198,Kallan D'Souza,2022,120,Comedy,4.6,Jithu K. Jayan,"['Soubin Shahir', 'Vijayaraghavan', 'Dileesh Pothan', 'Hareesh Kanaran']",189
1199,Sabaash Chandrabose,2022,124,Comedy,5.6,V.C. Abhilash,"['Vishnu Unnikrishnan', 'Johny Antony', 'Irshad', 'Dharmajan Bolgatty']",1069
1200,Amar Colony,2022,75,Drama,7.7,Siddharth Chauhan,"['Sangeeta Agrawal', 'Nimisha Nair', 'Usha Chauhan', 'Sreejith Vijay']",10
1201,Marivillin Gopurangal,2023,120,Drama,7.1,Arun Bose,"['Shruti Ramachandran', 'Vincy Aloshious', 'Indrajith Sukumaran', 'Sarjano Khalid']",3368
1202,Coffee,2022,120,Thriller,6.2,Sai Krishna,"['Rahul Dev', 'Mugdha Godse', 'Iniya', 'Soundararaja']",11
1203,Chekkan,2022,77,Drama,7.6,Shafi Eppikkad,"['Karthik Vishnu', 'Vinod Kovoor', 'Thezni Khan', 'Abu Salim']",12
1204,Yutha Satham,2022,127,Action,3.8,Ezhil,"['Kumki Ashwin', 'Chaams', 'Govindamoorthy', 'Kamaraj']",123
1205,Iravatham,2022,122,Drama,6.4,Suhaas Meera,"['Amardeep Chowdary', 'Arun Jaanu', 'Tanvi Negi', 'Ester Noronha']",2193
1206,Momo in Dubai,2023,103,Comedy,7.2,Ameen Aslam,"['Vijayakrishnan A.B.', 'Johny Antony', 'Albert Gayo', 'Hareesh Kanaran']",450
1207,Ab Dilli Dur Nahin,2023,120,Drama,9.1,Kamal Chandra,"['Imran Zahid', 'Shruti Sodhi', 'Mahesh Bhatt', 'Satyakam Anand']",94
1208,Hunt,2023,132,Action,6.0,Mahesh Surapaneni,"['Sudheer Babu Posani', 'Meka Srikanth', 'Bharath Srinivasan', 'Rajiv Kumar Aneja']",2696
1209,Kotha Kothaga,2022,120,Drama,7.6,Hanumaan Vasamsetty,"['Ajay', 'Anand', 'Kalyani Natarajan', 'Lavanya Reddy']",1061
1210,Murphy,2022,120,Drama,7.1,B.S.P. Varma,"['H.G. Dattatreya', 'B.S.P. Varma', 'Roshni Prakash', 'Prabhu Mundkur']",3368
1211,Medium Spicy,2022,139,Drama,7.4,Mohit Takalkar,"['Lalit Prabhakar', 'Sai Tamhankar', 'Parna Pethe', 'Sagar Deshmukh']",26
1212,Dochevaarevarura,2023,120,Comedy,7.9,Siva Nageshwara Rao,"['Ajay Ghosh', 'Tanikella Bharani', 'Pranava', 'Malavika Satheesan']",2326
1213,Nishiddho,2022,124,Drama,9.2,Tara Ramanujan,"['Kani Kusruti', 'Tanmay Dhanania', 'Santha Jagannathan', 'Dibakar Deb']",24
1214,Goa Trip,2022,85,Drama,4.4,Pujit Harshida Zakhariya,"['Ankit Bathla', 'Rani Chatterjee', 'Raadhe Kumar', 'Vikas Pathak']",9
1215,Pyali,2022,117,Drama,6.9,Babitha Mathew,"['Barbiee Sharma', 'George Jacob', 'Arjun', 'Sanjay Chandran']",459
1216,Khela Hobe,2023,120,Drama,7.1,Sunil Sinha,"['Aaryan', 'Rati Agnihotri', 'Sanjay Batra', 'Mugdha Godse']",9
1217,Bhagavanth Kesari,2023,130,Action,7.1,Anil Ravipudi,"['Nandamuri Balakrishna', 'Arjun Rampal', 'Kajal Aggarwal', 'R. Sarathkumar']",3368
1218,The Story of a Beautiful Girl,2023,132,Thriller,9.6,Ravi Prakash Bodapati,"['Drishika Chander', 'Nihal Kodhaty', 'Madhunandan', 'Bhargava Poludasu']",363
1219,Bangarraju,2022,150,Drama,5.7,Kalyan Krishna,"['Nagarjuna Akkineni', 'Ramya Krishnan', 'Naga Chaitanya Akkineni', 'Krithi Shetty']",2087
1220,Ori Devuda,2022,143,Comedy,7.2,Ashwath Marimuthu,"['Vishwak Sen', 'Mithila Palkar', 'Asha Bhat', 'Venkatesh Kakumanu']",1164
1221,Heaven,2022,130,Crime,6.5,Unni Govindraj,"['Suraj Venjaramoodu', 'Alencier Ley Lopez', 'Sudheesh', 'Sudev Nair']",1512
1222,Kuri,2022,106,Drama,4.9,K.R. Praveen,"['Vishnu Unnikrishnan', 'Surabhi Lakshmi', 'Vishnu Govindhan', 'Vinod Thomas']",433
1223,Queen Elizabeth,2023,120,Drama,7.1,M. Padmakumar,"['Jude Anthany Joseph', 'V.K. Prakash', 'Shweta Menon', 'Narain']",3368
1224,Maama Mascheendra,2023,120,Action,7.1,Harsha Vardhan,"['Eesha Rebba', 'Sudheer Babu Posani', 'Mirnalini Ravi', 'Ajay']",3368
1225,Carbon,2022,115,Drama,5.9,Sreenivasan,"['Vidharth', 'Dhanya Balakrishna', 'G. Marimuthu', 'Munnar Ramesh']",236
1226,Karan Arjun,2022,106,Action,5.7,Mohan Srivatsa,"['Abhimanyu', 'NikhilKumar', 'Shyfa', 'AnithaChoudhary']",1899
1227,10 Rupees,2023,117,Action,8.6,Afzal Shaik,"['Srikanth Chowtapalli', 'Surya Kumar Bhagawan Das', 'Mukhtar Khan', 'Pavithra Narayyan']",590
1228,Sarja,2023,120,Drama,7.1,Dhananjay Manohar Khandale,"['Aishwarya Bhalerao', 'Rohit Chavan', 'Tushar Nagargoje', 'Anil Nagarkar']",3368
